,date,open,high,low,close
0,2022-12-21 00:00:00,1216.32495,1217.52002,1215.87,1217.15002
1,2022-12-21 00:05:00,1217.10998,1218.63,1216.81006,1217.68994
2,2022-12-21 00:10:00,1217.66992,1217.72998,1210.94995,1212.10998
3,2022-12-21 00:15:00,1212.16504,1212.66003,1209.20508,1211.68994
4,2022-12-21 00:20:00,1211.72998,1212.17505,1209.58997,1211.58997
5,2022-12-21 00:25:00,1211.59497,1212.60998,1211.58997,1212.35998
6,2022-12-21 00:30:00,1212.40002,1215.18005,1212.33997,1214.70996
7,2022-12-21 00:35:00,1214.69507,1215.55005,1211.46997,1211.64502
8,2022-12-21 00:40:00,1211.67004,1212.69995,1210.07996,1211.25
9,2022-12-21 00:45:00,1211.31006,1211.31006,1207.13,1209.48999
10,2022-12-21 00:50:00,1209.46497,1209.54004,1206.27502,1209.03003
11,2022-12-21 00:55:00,1209.08496,1210.07007,1208.31995,1208.48498
12,2022-12-21 01:00:00,1208.44995,1210.10998,1207.03003,1209.93506
13,2022-12-21 01:05:00,1209.97998,1211.03503,1209.32996,1210.69995
14,2022-12-21 01:10:00,1210.70496,1211.80005,1210.43994,1210.52002
15,2022-12-21 01:15:00,1210.53003,1212.90002,1210.31995,1211.07996
16,2022-12-21 01:20:00,1211.09497,1211.10998,1208.93994,1209.33997
17,2022-12-21 01:25:00,1209.35498,1211.39502,1209.17004,1209.89002
18,2022-12-21 01:30:00,1209.94507,1211.0,1208.65002,1210.03003
19,2022-12-21 01:35:00,1210.04004,1210.97998,1209.85998,1210.59998
20,2022-12-21 01:40:00,1210.59497,1211.93005,1210.01001,1210.22998
21,2022-12-21 01:45:00,1210.23498,1211.46997,1210.0,1210.34497
22,2022-12-21 01:50:00,1210.29004,1212.48999,1209.96997,1212.32996
23,2022-12-21 01:55:00,1212.28491,1213.2146,1211.56006,1211.84998
24,2022-12-21 02:00:00,1211.87,1212.53955,1210.33997,1210.37
25,2022-12-21 02:05:00,1210.39502,1211.16443,1210.06995,1210.53003
26,2022-12-21 02:10:00,1210.51502,1212.78906,1210.33997,1212.28003
27,2022-12-21 02:15:00,1212.27002,1212.94763,1210.78003,1210.88
28,2022-12-21 02:20:00,1210.87,1211.4491,1208.47998,1209.37
29,2022-12-21 02:25:00,1209.34009,1212.42261,1209.19995,1211.80005
30,2022-12-21 02:30:00,1211.78503,1212.09363,1209.85998,1210.14002
31,2022-12-21 02:35:00,1210.23498,1211.39478,1210.19995,1210.78003
32,2022-12-21 02:40:00,1210.84497,1212.07361,1210.77002,1211.71692
33,2022-12-21 02:45:00,1210.94507,1211.95496,1209.18005,1209.52502
34,2022-12-21 02:50:00,1209.56006,1210.25171,1208.97998,1209.55005
35,2022-12-21 02:55:00,1209.505,1210.40002,1209.45996,1210.07996
36,2022-12-21 03:00:00,1210.06494,1210.28259,1209.16992,1209.70996
37,2022-12-21 03:05:00,1209.72998,1210.00879,1206.93506,1207.91003
38,2022-12-21 03:10:00,1207.89002,1209.76672,1205.52002,1207.79004
39,2022-12-21 03:15:00,1207.97998,1208.97986,1207.17004,1208.20996
40,2022-12-21 03:20:00,1208.22498,1209.48999,1208.16504,1209.18994
41,2022-12-21 03:25:00,1209.17993,1209.5957,1207.35998,1207.35998
42,2022-12-21 03:30:00,1207.40503,1209.30334,1207.09998,1209.0
43,2022-12-21 03:35:00,1208.98999,1210.40979,1208.96997,1209.89002
44,2022-12-21 03:40:00,1209.875,1210.57886,1209.17004,1209.18994
45,2022-12-21 03:45:00,1209.19495,1210.81824,1209.18994,1210.23999
46,2022-12-21 03:50:00,1210.21997,1210.92761,1209.63,1209.93994
47,2022-12-21 03:55:00,1209.92505,1211.07312,1209.20996,1210.125
48,2022-12-21 04:00:00,1210.08997,1211.08044,1209.15002,1209.22998
49,2022-12-21 04:05:00,1209.20996,1210.05786,1208.85998,1209.03003
50,2022-12-21 04:10:00,1209.01001,1209.66882,1207.65002,1208.06006
51,2022-12-21 04:15:00,1208.10498,1208.98999,1207.69995,1208.68005
52,2022-12-21 04:20:00,1208.67505,1209.15417,1205.79004,1206.31494
