,close,date,high,low,open
0,15.981,2022-12-21 00:00:00,15.9845,15.975,15.9755
1,16.015,2022-12-21 00:05:00,16.019,15.981,15.9815
2,15.921,2022-12-21 00:10:00,16.016,15.9185,16.016
3,15.924,2022-12-21 00:15:00,15.9335,15.8825,15.9185
4,15.929,2022-12-21 00:20:00,15.939,15.9135,15.9235
5,15.952,2022-12-21 00:25:00,15.9575,15.929,15.9405
6,15.9925,2022-12-21 00:30:00,15.993500000000001,15.951,15.9515
7,15.956,2022-12-21 00:35:00,15.993500000000001,15.9535,15.993
8,15.938,2022-12-21 00:40:00,15.971,15.9225,15.955
9,15.8895,2022-12-21 00:45:00,15.949,15.887,15.9415
10,15.857,2022-12-21 00:50:00,15.8895,15.832,15.8875
11,15.866,2022-12-21 00:55:00,15.8725,15.8475,15.8565
12,15.8755,2022-12-21 01:00:00,15.882,15.8385,15.864
13,15.8805,2022-12-21 01:05:00,15.8885,15.8715,15.8765
14,15.889,2022-12-21 01:10:00,15.908,15.8805,15.881
15,15.8955,2022-12-21 01:15:00,15.9045,15.8865,15.8885
16,15.8615,2022-12-21 01:20:00,15.896,15.8595,15.896
17,15.868500000000001,2022-12-21 01:25:00,15.8785,15.8615,15.862
18,15.8745,2022-12-21 01:30:00,15.875,15.8585,15.868
19,15.879,2022-12-21 01:35:00,15.879,15.8735,15.874
20,15.8825,2022-12-21 01:40:00,15.8935,15.8795,15.8865
21,15.8725,2022-12-21 01:45:00,15.885,15.8675,15.8805
22,15.867,2022-12-21 01:50:00,15.8725,15.858,15.872
23,15.8765,2022-12-21 01:55:00,15.887,15.8655,15.868
24,15.836500000000001,2022-12-21 02:00:00,15.873,15.836,15.8725
25,15.838,2022-12-21 02:05:00,15.8385,15.8225,15.8385
26,15.8625,2022-12-21 02:10:00,15.864,15.838,15.8455
27,15.849,2022-12-21 02:15:00,15.8625,15.849,15.862
28,15.824,2022-12-21 02:20:00,15.8525,15.8165,15.850999999999999
29,15.834,2022-12-21 02:25:00,15.835,15.822,15.8235
30,15.829,2022-12-21 02:30:00,15.8325,15.828,15.8325
31,15.83,2022-12-21 02:35:00,15.8335,15.826,15.828
32,15.82,2022-12-21 02:40:00,15.8295,15.8185,15.8295
33,15.7775,2022-12-21 02:45:00,15.8205,15.763,15.8205
34,15.7805,2022-12-21 02:50:00,15.7845,15.768,15.7725
35,15.781,2022-12-21 02:55:00,15.784,15.7805,15.7825
36,15.7825,2022-12-21 03:00:00,15.784,15.7775,15.782
37,15.7195,2022-12-21 03:05:00,15.782,15.7015,15.782
38,15.7365,2022-12-21 03:10:00,15.7425,15.6955,15.719
39,15.738,2022-12-21 03:15:00,15.7415,15.7315,15.7415
40,15.742,2022-12-21 03:20:00,15.7425,15.7375,15.7385
41,15.7425,2022-12-21 03:25:00,15.744,15.7335,15.7415
42,15.7375,2022-12-21 03:30:00,15.744,15.7205,15.7415
43,15.752,2022-12-21 03:35:00,15.7565,15.7375,15.738
44,15.738,2022-12-21 03:40:00,15.758,15.7375,15.7505
45,15.7465,2022-12-21 03:45:00,15.7495,15.7325,15.7375
46,15.7345,2022-12-21 03:50:00,15.7465,15.7335,15.746
47,15.758,2022-12-21 03:55:00,15.7635,15.728,15.7355
48,15.7295,2022-12-21 04:00:00,15.747,15.729,15.736
49,15.725,2022-12-21 04:05:00,15.73,15.7225,15.73
50,15.676,2022-12-21 04:10:00,15.725,15.6685,15.7205
51,15.6945,2022-12-21 04:15:00,15.6945,15.6715,15.6715
52,15.6515,2022-12-21 04:20:00,15.6965,15.650500000000001,15.695
53,15.6695,2022-12-21 04:25:00,15.671,15.6455,15.652
54,15.674,2022-12-21 04:30:00,15.6775,15.663,15.6685
55,15.6755,2022-12-21 04:35:00,15.6905,15.6735,15.6745
56,15.6495,2022-12-21 04:40:00,15.6735,15.6495,15.6735
57,15.6735,2022-12-21 04:45:00,15.68,15.6335,15.653
58,15.667,2022-12-21 04:50:00,15.6735,15.657,15.6725
59,15.6245,2022-12-21 04:55:00,15.666,15.6245,15.665
60,15.617,2022-12-21 05:00:00,15.62,15.5795,15.6125
61,15.6425,2022-12-21 05:05:00,15.643,15.6145,15.6175
62,15.647,2022-12-21 05:10:00,15.647,15.641,15.643
63,15.646,2022-12-21 05:15:00,15.650500000000001,15.645,15.6465
64,15.6685,2022-12-21 05:20:00,15.669,15.646,15.6465
65,15.679,2022-12-21 05:25:00,15.6835,15.668,15.668
66,15.6905,2022-12-21 05:30:00,15.6945,15.6795,15.6795
67,15.6915,2022-12-21 05:35:00,15.6995,15.6865,15.6915
68,15.701,2022-12-21 05:40:00,15.702,15.691,15.691
69,15.713,2022-12-21 05:45:00,15.7345,15.6985,15.7015
70,15.729,2022-12-21 05:50:00,15.7405,15.693,15.7125
71,15.7275,2022-12-21 05:55:00,15.7305,15.7275,15.73
72,15.727,2022-12-21 06:00:00,15.7355,15.7225,15.7285
73,15.715,2022-12-21 06:05:00,15.721,15.7045,15.721
74,15.7165,2022-12-21 06:10:00,15.72,15.703,15.7135
75,15.718,2022-12-21 06:15:00,15.725,15.7175,15.7175
76,15.7365,2022-12-21 06:20:00,15.7375,15.716,15.716
77,15.7605,2022-12-21 06:25:00,15.761,15.7355,15.7375
78,15.7615,2022-12-21 06:30:00,15.7615,15.7605,15.761
79,15.771,2022-12-21 06:35:00,15.784,15.761,15.761
80,15.76,2022-12-21 06:40:00,15.771,15.76,15.7675
81,15.759,2022-12-21 06:45:00,15.7625,15.7575,15.7625
82,15.7565,2022-12-21 06:50:00,15.7595,15.7565,15.7585
83,15.7575,2022-12-21 06:55:00,15.7575,15.7565,15.757
84,15.7605,2022-12-21 07:00:00,15.7605,15.7555,15.7585
85,15.787,2022-12-21 07:05:00,15.7995,15.7585,15.761
86,15.828,2022-12-21 07:10:00,15.833,15.787,15.7875
87,15.8235,2022-12-21 07:15:00,15.8315,15.82,15.829
88,15.7995,2022-12-21 07:20:00,15.826,15.799,15.8245
89,15.813,2022-12-21 07:25:00,15.8185,15.794,15.8035
